CAPITOL1_R1127_C3,Capitol 1. Rind 1.12.7   col 3,dec/DataSet/Data/CAPITOL1_R1127_C3
CAPITOL1_R1128_C1,Capitol 1. Rind 1.12.8   col 1,dec/DataSet/Data/CAPITOL1_R1128_C1
CAPITOL1_R1128_C2,Capitol 1. Rind 1.12.8   col 2,dec/DataSet/Data/CAPITOL1_R1128_C2
CAPITOL1_R1128_C3,Capitol 1. Rind 1.12.8   col 3,dec/DataSet/Data/CAPITOL1_R1128_C3
CAPITOL1_R1129_C1,Capitol 1. Rind 1.12.9   col 1,dec/DataSet/Data/CAPITOL1_R1129_C1
CAPITOL1_R1129_C2,Capitol 1. Rind 1.12.9   col 2,dec/DataSet/Data/CAPITOL1_R1129_C2
CAPITOL1_R1129_C3,Capitol 1. Rind 1.12.9   col 3,dec/DataSet/Data/CAPITOL1_R1129_C3
CAPITOL21_R211_C1,Capitol 2. Rind 2.1.1   col 1,dec/DataSet/Data/CAPITOL21_R211_C1
CAPITOL21_R211_C2,Capitol 2. Rind 2.1.1   col 2,dec/DataSet/Data/CAPITOL21_R211_C2
CAPITOL21_R211_C3,Capitol 2. Rind 2.1.1   col 3,dec/DataSet/Data/CAPITOL21_R211_C3
CAPITOL21_R211_C4,Capitol 2. Rind 2.1.1   col 4,dec/DataSet/Data/CAPITOL21_R211_C4
CAPITOL21_R211_C5,Capitol 2. Rind 2.1.1   col 5,dec/DataSet/Data/CAPITOL21_R211_C5
CAPITOL21_R212_C1,Capitol 2. Rind 2.1.2   col 1,dec/DataSet/Data/CAPITOL21_R212_C1
CAPITOL21_R212_C2,Capitol 2. Rind 2.1.2   col 2,dec/DataSet/Data/CAPITOL21_R212_C2
CAPITOL21_R212_C3,Capitol 2. Rind 2.1.2   col 3,dec/DataSet/Data/CAPITOL21_R212_C3
CAPITOL21_R212_C4,Capitol 2. Rind 2.1.2   col 4,dec/DataSet/Data/CAPITOL21_R212_C4
CAPITOL21_R212_C5,Capitol 2. Rind 2.1.2   col 5,dec/DataSet/Data/CAPITOL21_R212_C5
CAPITOL22_R221_C1,Capitol 2. Rind 2.2.1   col 1,dec/DataSet/Data/CAPITOL22_R221_C1
CAPITOL22_R221_C2,Capitol 2. Rind 2.2.1   col 2,dec/DataSet/Data/CAPITOL22_R221_C2
CAPITOL22_R221_C3,Capitol 2. Rind 2.2.1   col 3,dec/DataSet/Data/CAPITOL22_R221_C3
CAPITOL22_R221_C4,Capitol 2. Rind 2.2.1   col 4,dec/DataSet/Data/CAPITOL22_R221_C4
CAPITOL22_R222_C1,Capitol 2. Rind 2.2.2   col 1,dec/DataSet/Data/CAPITOL22_R222_C1
CAPITOL22_R222_C2,Capitol 2. Rind 2.2.2   col 2,dec/DataSet/Data/CAPITOL22_R222_C2
CAPITOL22_R222_C3,Capitol 2. Rind 2.2.2   col 3,dec/DataSet/Data/CAPITOL22_R222_C3
CAPITOL22_R222_C4,Capitol 2. Rind 2.2.2   col 4,dec/DataSet/Data/CAPITOL22_R222_C4
CAPITOL22_R223_C1,Capitol 2. Rind 2.2.3   col 1,dec/DataSet/Data/CAPITOL22_R223_C1
CAPITOL22_R223_C2,Capitol 2. Rind 2.2.3   col 2,dec/DataSet/Data/CAPITOL22_R223_C2
CAPITOL22_R223_C3,Capitol 2. Rind 2.2.3   col 3,dec/DataSet/Data/CAPITOL22_R223_C3
CAPITOL22_R223_C4,Capitol 2. Rind 2.2.3   col 4,dec/DataSet/Data/CAPITOL22_R223_C4
CAPITOL22_R224_C1,Capitol 2. Rind 2.2.4   col 1,dec/DataSet/Data/CAPITOL22_R224_C1
